researcher_id,researcher_name,paper_id,Bing Liu,http://arxiv.org/abs/2012.12104v1
Osonde A. Osoba,Osonde A. Osoba,http://arxiv.org/abs/2006.05048v3
Raffaele Vardavas,Raffaele Vardavas,http://arxiv.org/abs/2006.05048v3
Justin Grana,Justin Grana,http://arxiv.org/abs/2006.05048v3
Rushil Zutshi,Rushil Zutshi,http://arxiv.org/abs/2006.05048v3
Amber Jaycocks,Amber Jaycocks,http://arxiv.org/abs/2006.05048v3
Hebi Li,Hebi Li,http://arxiv.org/abs/2006.04697v1
Qi Xiao,Qi Xiao,http://arxiv.org/abs/2006.04697v1
Jin Tian,Jin Tian,http://arxiv.org/abs/2006.04697v1
Qipeng Guo,Qipeng Guo,http://arxiv.org/abs/2006.04702v3
Zhijing Jin,Zhijing Jin,http://arxiv.org/abs/2006.04702v3
Xipeng Qiu,Xipeng Qiu,http://arxiv.org/abs/2006.04702v3
Weinan Zhang,Weinan Zhang,http://arxiv.org/abs/2006.04702v3
David Wipf,David Wipf,http://arxiv.org/abs/2006.04702v3
Zheng Zhang,Zheng Zhang,http://arxiv.org/abs/2006.04702v3
Daniel Schiff,Daniel Schiff,http://arxiv.org/abs/2006.04707v1
Bogdana Rakova,Bogdana Rakova,http://arxiv.org/abs/2006.04707v1
Aladdin Ayesh,Aladdin Ayesh,http://arxiv.org/abs/2006.04707v1
Anat Fanti,Anat Fanti,http://arxiv.org/abs/2006.04707v1
Michael Lennon,Michael Lennon,http://arxiv.org/abs/2006.04707v1
Markus N. Rabe,Markus N. Rabe,http://arxiv.org/abs/2006.04757v3
Dennis Lee,Dennis Lee,http://arxiv.org/abs/2006.04757v3
Kshitij Bansal,Kshitij Bansal,http://arxiv.org/abs/2006.04757v3
Christian Szegedy,Christian Szegedy,http://arxiv.org/abs/2006.04757v3
Nazneen N Sultana,Nazneen N Sultana,http://arxiv.org/abs/2006.04037v1
Hardik Meisheri,Hardik Meisheri,http://arxiv.org/abs/2006.04037v1
Vinita Baniwal,Vinita Baniwal,http://arxiv.org/abs/2006.04037v1
Somjit Nath,Somjit Nath,http://arxiv.org/abs/2006.04037v1
Balaraman Ravindran,Balaraman Ravindran,http://arxiv.org/abs/2006.04037v1
Harshad Khadilkar,Harshad Khadilkar,http://arxiv.org/abs/2006.04037v1
Maulik R. Kamdar,Maulik R. Kamdar,http://arxiv.org/abs/2006.04161v1
Mark A. Musen,Mark A. Musen,http://arxiv.org/abs/2006.04161v1
Jesús Bobadilla,Jesús Bobadilla,http://arxiv.org/abs/2006.05255v1
Raúl Lara-Cabrera,Raúl Lara-Cabrera,http://arxiv.org/abs/2006.05255v1
Ángel González-Prieto,Ángel González-Prieto,http://arxiv.org/abs/2006.05255v1
Fernando Ortega,Fernando Ortega,http://arxiv.org/abs/2006.05255v1
Yutaka Nagashima,Yutaka Nagashima,http://arxiv.org/abs/2005.12737v1
Tao Liu,Tao Liu,http://arxiv.org/abs/2005.12826v2
Antonio Prestes García,Antonio Prestes García,http://arxiv.org/abs/2005.12841v1
Alfonso Rodríguez-Patón,Alfonso Rodríguez-Patón,http://arxiv.org/abs/2005.12841v1
Jianfeng Liu,Jianfeng Liu,http://arxiv.org/abs/2005.11729v2
Feiyang Pan,Feiyang Pan,http://arxiv.org/abs/2005.11729v2
Ling Luo,Ling Luo,http://arxiv.org/abs/2005.11729v2
 Subhadeep, Subhadeep,http://arxiv.org/abs/2005.13596v1
 Mukhopadhyay, Mukhopadhyay,http://arxiv.org/abs/2005.13596v1
Kaijun Wang,Kaijun Wang,http://arxiv.org/abs/2005.13596v1
Nasim Sonboli,Nasim Sonboli,http://arxiv.org/abs/2005.12974v1
Farzad Eskandanian,Farzad Eskandanian,http://arxiv.org/abs/2005.12974v1
Robin Burke,Robin Burke,http://arxiv.org/abs/2005.12974v1
Weiwen Liu,Weiwen Liu,http://arxiv.org/abs/2005.12974v1
Bamshad Mobasher,Bamshad Mobasher,http://arxiv.org/abs/2005.12974v1
Mohammad Ali Javidian,Mohammad Ali Javidian,http://arxiv.org/abs/2005.14037v1
Marco Valtorta,Marco Valtorta,http://arxiv.org/abs/2005.14037v1
Pooyan Jamshidi,Pooyan Jamshidi,http://arxiv.org/abs/2005.14037v1
Haochen Liu,Haochen Liu,http://arxiv.org/abs/2005.13170v1
Zhiwei Wang,Zhiwei Wang,http://arxiv.org/abs/2005.13170v1
Tyler Derr,Tyler Derr,http://arxiv.org/abs/2005.13170v1
Jiliang Tang,Jiliang Tang,http://arxiv.org/abs/2005.13170v1
Alex Cummaudo,Alex Cummaudo,http://arxiv.org/abs/2005.13186v1
Scott Barnett,Scott Barnett,http://arxiv.org/abs/2005.13186v1
Rajesh Vasa,Rajesh Vasa,http://arxiv.org/abs/2005.13186v1
John Grundy,John Grundy,http://arxiv.org/abs/2005.13186v1
Mohamed Abdelrazek,Mohamed Abdelrazek,http://arxiv.org/abs/2005.13186v1
Zachary Wojtowicz,Zachary Wojtowicz,http://arxiv.org/abs/2006.02359v1
Simon DeDeo,Simon DeDeo,http://arxiv.org/abs/2006.02359v1
Zuohui Fu,Zuohui Fu,http://arxiv.org/abs/2006.02046v2
Yikun Xian,Yikun Xian,http://arxiv.org/abs/2006.02046v2
Ruoyuan Gao,Ruoyuan Gao,http://arxiv.org/abs/2006.02046v2
Jieyu Zhao,Jieyu Zhao,http://arxiv.org/abs/2006.02046v2
Qiaoying Huang,Qiaoying Huang,http://arxiv.org/abs/2006.02046v2
Yingqiang Ge,Yingqiang Ge,http://arxiv.org/abs/2006.02046v2
Shuyuan Xu,Shuyuan Xu,http://arxiv.org/abs/2006.02046v2
Shijie Geng,Shijie Geng,http://arxiv.org/abs/2006.02046v2
Chirag Shah,Chirag Shah,http://arxiv.org/abs/2006.02046v2
Yongfeng Zhang,Yongfeng Zhang,http://arxiv.org/abs/2006.02046v2
Gerard de Melo,Gerard de Melo,http://arxiv.org/abs/2006.02046v2
Nadia Labai,Nadia Labai,http://arxiv.org/abs/2006.02078v1
Magdalena Ortiz,Magdalena Ortiz,http://arxiv.org/abs/2006.02078v1
Mantas Šimkus,Mantas Šimkus,http://arxiv.org/abs/2006.02078v1
Jinghai Rao,Jinghai Rao,http://arxiv.org/abs/2006.02168v1
Dimitar Dimitrov,Dimitar Dimitrov,http://arxiv.org/abs/2006.02168v1
Paul Hofmann,Paul Hofmann,http://arxiv.org/abs/2006.02168v1
Norman Sadeh,Norman Sadeh,http://arxiv.org/abs/2006.02168v1
Muhammad Zuhair Qadir,Muhammad Zuhair Qadir,http://arxiv.org/abs/2006.01022v2
Songhao Piao,Songhao Piao,http://arxiv.org/abs/2006.01022v2
Haiyang Jiang,Haiyang Jiang,http://arxiv.org/abs/2006.01022v2
Mohammed El Habib Souidi,Mohammed El Habib Souidi,http://arxiv.org/abs/2006.01022v2
Anoopkumar Sonar,Anoopkumar Sonar,http://arxiv.org/abs/2006.01096v3
Vincent Pacelli,Vincent Pacelli,http://arxiv.org/abs/2006.01096v3
Anirudha Majumdar,Anirudha Majumdar,http://arxiv.org/abs/2006.01096v3
Konstantin Yakovlev,Konstantin Yakovlev,http://arxiv.org/abs/2006.01195v1
Anton Andreychuk,Anton Andreychuk,http://arxiv.org/abs/2006.01195v1
Roni Stern,Roni Stern,http://arxiv.org/abs/2006.01195v1
Vahid Yazdanpanah,Vahid Yazdanpanah,http://arxiv.org/abs/2006.01784v1
Devrim Murat Yazan,Devrim Murat Yazan,http://arxiv.org/abs/2006.01784v1
W. Henk M. Zijm,W. Henk M. Zijm,http://arxiv.org/abs/2006.01784v1
Kenneth Skiba,Kenneth Skiba,http://arxiv.org/abs/2008.02735v1
Matthias Thimm,Matthias Thimm,http://arxiv.org/abs/2008.02735v1
Neil Hulbert,Neil Hulbert,http://arxiv.org/abs/2008.01700v2
Sam Spillers,Sam Spillers,http://arxiv.org/abs/2008.01700v2
Brandon Francis,Brandon Francis,http://arxiv.org/abs/2008.01700v2
James Haines-Temons,James Haines-Temons,http://arxiv.org/abs/2008.01700v2
Ken Gil Romero,Ken Gil Romero,http://arxiv.org/abs/2008.01700v2
Benjamin De Jager,Benjamin De Jager,http://arxiv.org/abs/2008.01700v2
Sam Wong,Sam Wong,http://arxiv.org/abs/2008.01700v2
Kevin Flora,Kevin Flora,http://arxiv.org/abs/2008.01700v2
Bowei Huang,Bowei Huang,http://arxiv.org/abs/2008.01700v2
Athirai A. Irissappane,Athirai A. Irissappane,http://arxiv.org/abs/2008.01700v2
Jan Blumenkamp,Jan Blumenkamp,http://arxiv.org/abs/2008.02616v2
Amanda Prorok,Amanda Prorok,http://arxiv.org/abs/2008.02616v2
Alex Church,Alex Church,http://arxiv.org/abs/2008.02646v1
John Lloyd,John Lloyd,http://arxiv.org/abs/2008.02646v1
Raia Hadsell,Raia Hadsell,http://arxiv.org/abs/2008.02646v1
Nathan F. Lepora,Nathan F. Lepora,http://arxiv.org/abs/2008.02646v1
Pedro Cabalar,Pedro Cabalar,http://arxiv.org/abs/2008.02018v1
Jorge Fandinno,Jorge Fandinno,http://arxiv.org/abs/2008.02018v1
Javier Garea,Javier Garea,http://arxiv.org/abs/2008.02018v1
Javier Romero,Javier Romero,http://arxiv.org/abs/2008.02018v1
Torsten Schaub,Torsten Schaub,http://arxiv.org/abs/2008.02018v1
Ruigang Fu,Ruigang Fu,http://arxiv.org/abs/2008.02312v4
Qingyong Hu,Qingyong Hu,http://arxiv.org/abs/2008.02312v4
Xiaohu Dong,Xiaohu Dong,http://arxiv.org/abs/2008.02312v4
Yulan Guo,Yulan Guo,http://arxiv.org/abs/2008.02312v4
Yinghui Gao,Yinghui Gao,http://arxiv.org/abs/2008.02312v4
Biao Li,Biao Li,http://arxiv.org/abs/2008.02312v4
Anitha Kannan,Anitha Kannan,http://arxiv.org/abs/2008.03323v3
Richard Chen,Richard Chen,http://arxiv.org/abs/2008.03323v3
Vignesh Venkataraman,Vignesh Venkataraman,http://arxiv.org/abs/2008.03323v3
Geoffrey J. Tso,Geoffrey J. Tso,http://arxiv.org/abs/2008.03323v3
Xavier Amatriain,Xavier Amatriain,http://arxiv.org/abs/2008.03323v3
David L. Martin,David L. Martin,http://arxiv.org/abs/2008.03900v2
Peter F. Patel-Schneider,Peter F. Patel-Schneider,http://arxiv.org/abs/2008.03900v2
Lê Nguyên Hoang,Lê Nguyên Hoang,http://arxiv.org/abs/2008.04256v1
Ibrahim Ahmed,Ibrahim Ahmed,http://arxiv.org/abs/2008.04407v1
